Relative_Humidity,Temperature,Weather_type
27,30,Smoke
32,28,Smoke
44,24,Smoke
41,24,Smoke
47,23,Smoke
56,21,Smoke
60,21,Smoke
60,21,Smoke
68,19,Smoke
68,19,Smoke
68,19,Smoke
64,19,Smoke
60,19,Smoke
60,19,Smoke
52,20,Smoke
46,22,Smoke
44,23,Smoke
39,26,Smoke
32,28,Clear
29,30,Clear
24,31,Clear
22,31,Clear
22,31,Clear
25,30,Smoke
34,27,Smoke
41,25,Smoke
53,22,Smoke
56,21,Smoke
64,19,Smoke
60,20,Smoke
64,19,Smoke
60,19,Smoke
68,17,Smoke
68,17,Smoke
72,17,Smoke
72,17,Smoke
68,17,Smoke
72,16,Smoke
63,17,Smoke
64,19,Smoke
53,22,Smoke
60,22,Smoke
44,26,Smoke
30,28,Smoke
35,28,Smoke
33,29,Smoke
33,29,Smoke
39,27,Smoke
42,26,Smoke
60,22,Smoke
57,22,Smoke
60,21,Smoke
56,21,Smoke
64,20,Smoke
60,20,Smoke
64,19,Smoke
68,19,Smoke
64,19,Smoke
77,17,Smoke
77,17,Smoke
68,18,Smoke
77,15,Clear
68,17,Smoke
60,20,Smoke
42,26,Smoke
37,28,Smoke
32,28,Smoke
27,29,Smoke
29,29,Smoke
25,29,Smoke
34,27,Smoke
39,25,Smoke
44,23,Smoke
46,21,Smoke
46,21,Smoke
59,18,Smoke
64,18,Haze
68,17,Haze
38,24,Smoke
34,26,Smoke
27,29,Smoke
23,30,Smoke
25,30,Smoke
30,28,Smoke
25,29,Smoke
27,29,Smoke
22,29,Smoke
26,28,Smoke
32,25,Smoke
36,24,Smoke
52,20,Smoke
56,19,Smoke
56,19,Smoke
56,19,Smoke
59,18,Smoke
68,17,Smoke
72,16,Smoke
72,16,Smoke
77,15,Smoke
77,15,Smoke
68,17,Smoke
59,18,Smoke
64,19,Smoke
53,23,Smoke
47,25,Smoke
37,27,Smoke
33,29,Clear
27,29,Clear
25,30,Clear
23,30,Smoke
25,29,Smoke
36,25,Smoke
38,24,Smoke
46,22,Smoke
49,20,Smoke
52,19,Smoke
52,19,Smoke
49,19,Smoke
52,18,Smoke
59,17,Smoke
59,17,Smoke
59,16,Smoke
63,15,Smoke
59,15,Smoke
N/A,,Smoke
59,16,Smoke
49,18,Smoke
46,21,Smoke
38,24,Smoke
32,27,Smoke
23,28,Smoke
23,29,Haze
23,29,Haze
25,28,Haze
26,27,Smoke
41,23,Smoke
46,21,Smoke
49,21,Smoke
49,20,Smoke
49,20,Smoke
56,19,Smoke
52,19,Smoke
59,18,Smoke
59,17,Smoke
59,17,Smoke
59,16,Unknown
59,16,Smoke
55,16,Smoke
59,15,Smoke
52,16,Smoke
49,18,Smoke
46,21,Smoke
38,24,Smoke
28,27,Smoke
28,28,Smoke
26,28,Clear
30,27,Smoke
32,25,Smoke
43,21,Smoke
46,20,Smoke
52,19,Smoke
52,19,Smoke
56,18,Smoke
55,17,Smoke
55,17,Smoke
55,17,Clear
63,15,Smoke
59,15,Smoke
59,15,Smoke
63,14,Smoke
63,14,Smoke
59,15,Smoke
49,18,Smoke
41,22,Smoke
36,24,Smoke
30,26,Clear
25,28,Clear
22,29,Clear
20,29,Clear
20,29,Clear
24,27,Clear
33,23,Smoke
40,21,Smoke
56,18,Smoke
49,19,Smoke
49,18,Smoke
48,17,Smoke
55,16,Smoke
59,15,Smoke
67,14,Smoke
63,14,Smoke
63,14,Smoke
59,15,Smoke
49,18,Smoke
40,19,Smoke
34,24,Smoke
28,27,Smoke
21,28,Smoke
20,29,Clear
17,30,Clear
17,28,Clear
18,29,Clear
23,28,Clear
34,24,Smoke
36,23,Smoke
38,22,Smoke
43,20,Smoke
40,20,Smoke
37,20,Smoke
43,19,Smoke
37,20,Smoke
49,18,Smoke
59,17,Smoke
63,16,Smoke
63,16,Smoke
55,16,Smoke
38,21,Smoke
31,24,Smoke
28,26,Smoke
23,28,Smoke
20,30,Haze
19,30,Haze
18,31,Clear
19,31,Clear
20,30,Clear
25,28,Haze
34,25,Smoke
36,24,Smoke
38,23,Smoke
38,22,Smoke
41,22,Smoke
49,21,Smoke
49,21,Smoke
56,19,Smoke
52,20,Smoke
52,20,Smoke
68,18,Smoke
72,17,Smoke
68,17,Smoke
60,19,Smoke
N/A,,Smoke
56,21,Smoke
44,25,Smoke
41,25,Smoke
39,26,Smoke
32,28,Smoke
23,34,Smoke
37,28,Smoke
35,28,Smoke
42,27,Smoke
47,25,Smoke
57,23,Smoke
57,22,Smoke
60,21,Smoke
60,21,Smoke
60,21,Smoke
64,20,Smoke
64,19,Smoke
64,21,Smoke
53,23,Smoke
64,20,Smoke
64,20,Smoke
60,21,Smoke
57,22,Smoke
36,25,Smoke
36,26,Smoke
32,27,Smoke
25,28,Smoke
26,28,Smoke
25,28,Smoke
26,27,Smoke
36,24,Smoke
43,21,Smoke
49,19,Smoke
52,19,Smoke
59,16,Smoke
63,15,Smoke
67,14,Smoke
67,14,Smoke
67,14,Smoke
63,14,Smoke
59,15,Smoke
41,22,Smoke
38,23,Smoke
36,25,Smoke
26,26,Smoke
29,24,Smoke
38,22,Smoke
52,19,Smoke
59,17,Smoke
59,16,Smoke
63,15,Smoke
63,14,Smoke
63,14,Smoke
67,13,Smoke
72,12,Smoke
67,12,Smoke
67,11,Smoke
62,11,Smoke